1_M3,1.00140380859375
1_M0,2.002680540084839
1_M1,3.00236177444458
3_M0,1.0011909008026123
2_M0,2.002275228500366
4_M2,2.0004093647003174
5_M2,2.0022082328796387
6_M0,2.001082420349121
4_M0,4.002767562866211
8_M0,2.002162456512451
7_M1,4.00238299369812
7_M3,4.003991603851318
9_M2,4.003164529800415
9_M0,4.0034894943237305
9_R1,2.0007078647613525
9_R0,4.000948190689087
8_M2,1.0010125637054443
8_M1,3.0020432472229004
8_R0,3.001051664352417
7_R0,1.001166820526123
7_R1,2.0023763179779053
6_R0,1.000274896621704
6_R1,1.0008254051208496
5_R0,4.003678798675537
4_R1,2.0021238327026367
4_R0,4.003095865249634
3_R0,2.0017669200897217
2_R0,3.0031607151031494
1_R0,2.0022127628326416
1_R1,4.003792762756348
0_M0,4.001418590545654
0_M1,4.0016703605651855
0_R0,2.0012729167938232
0_R1,4.003142356872559
